,all_preds,all_labels,all_preds_raw
183,1.0,1,0.65887666
184,0.0,0,0.1214259
185,0.0,1,0.3674826
186,1.0,1,0.7953745
187,0.0,0,0.09965121
188,0.0,0,0.20103249
189,1.0,0,0.5985489
190,0.0,0,0.2764326
191,1.0,0,0.5060443
192,0.0,0,0.08098104
193,0.0,1,0.36351347
194,1.0,1,0.60169244
195,1.0,1,0.5062647
196,1.0,1,0.9913653
197,0.0,0,0.4124241
198,0.0,0,0.034856245
199,1.0,0,0.59270763
200,0.0,0,0.18249868
201,1.0,1,0.9661573
202,0.0,0,0.35332105
203,0.0,0,0.45262647
204,0.0,1,0.44146568
205,1.0,0,0.83800584
206,0.0,1,0.27068838
207,1.0,1,0.9216899
208,1.0,0,0.7976444
209,0.0,0,0.07462231
210,1.0,1,0.6727065
211,0.0,0,0.079946004
212,1.0,1,0.8123632
213,1.0,1,0.7892718
214,0.0,1,0.28408134
215,1.0,1,0.5253747
216,1.0,1,0.6426379
217,1.0,1,0.9809748
218,0.0,0,0.18544765
219,0.0,0,0.12003774
220,0.0,0,0.165306
221,0.0,0,0.16733028
222,1.0,0,0.59959257
223,1.0,1,0.7012587
224,1.0,0,0.9156439
225,1.0,1,0.6993596
226,0.0,0,0.10104792
227,0.0,0,0.47801146
228,1.0,1,0.76862174
229,1.0,0,0.5210157
230,0.0,0,0.4142101
231,0.0,0,0.20153923
232,1.0,0,0.83123326
233,0.0,0,0.18028969
234,0.0,1,0.33622906
235,1.0,0,0.504239
236,0.0,0,0.24741542
237,1.0,0,0.53395814
238,0.0,0,0.332208
239,0.0,0,0.25498608
240,1.0,1,0.5268881
241,0.0,0,0.19937657
242,1.0,1,0.9322509
243,0.0,1,0.42134166
244,1.0,1,0.66868573
245,1.0,1,0.9568114
246,0.0,1,0.445746
247,0.0,0,0.034811508
248,1.0,1,0.73121625
249,0.0,0,0.087252796
250,0.0,0,0.4140285
251,1.0,1,0.79152983
252,1.0,1,0.98336595
253,1.0,1,0.64224213
254,1.0,1,0.6836267
255,0.0,0,0.14514513
256,0.0,0,0.14574046
257,1.0,1,0.6725596
258,0.0,0,0.2923781
259,1.0,1,0.9765213
260,1.0,0,0.8969926
261,1.0,1,0.9100134
262,0.0,0,0.45199063
263,0.0,0,0.11751767
264,0.0,0,0.47274572
265,0.0,0,0.077634096
266,1.0,1,0.6191443
267,0.0,0,0.24001536
268,0.0,0,0.18869539
269,1.0,1,0.92949903
270,1.0,1,0.7133499
271,0.0,0,0.23929474
272,1.0,1,0.67186964
273,0.0,0,0.21113898
274,1.0,1,0.5465024
275,0.0,0,0.13935943
276,0.0,0,0.042332258
277,0.0,0,0.31289905
278,0.0,0,0.34852582
279,1.0,1,0.94157356
280,1.0,1,0.60113454
281,0.0,1,0.33331585
282,0.0,0,0.10509614
283,1.0,0,0.6115464
